QID,Label,Description
Q1637009,Felicity Party,Islamist political party in Turkey
Q1639219,Tiwa people,ethnic group
Q1639447,Pakistan Air Force,air warfare branch of Pakistan's armed forces
Q1642736,Reformed Church in the United States,Protestant Christian denomination
Q1643743,,
Q1644319,2009 Argentine legislative election,
Q1644847,naval engineer,profession
Q1648418,Vaticanology,study of the operations of the Holy See and Roman Catholic Church
Q1650716,doorkeeper,person whose job it is to monitor and open the door of a semi-public building
Q1652642,,
Q1657009,Usuli,majority group within Twelver Shi'a Islam
Q1658894,illusionist,artist who masters illusion (includes stage magician and painter)
Q1660336,implantologist,
Q1665268,command,message conveying a requirement to perform a certain action
Q1666735,ABAKO,
Q1668076,,Wikimedia disambiguation page
Q1668341,climate finance,
Q1669589,classical archaeology,discipline of archeology
Q1669673,Rally of the Republicans,political party
Q1670999,Partie de l'unité nationale,political party
Q1672383,Freedom Movement of Iran,
Q1674162,Islamic Renaissance Party of Tajikistan,political party
Q1674170,Turkistan Islamic Party,Islamic extremist organization in China
Q1678416,provenance research,academic discipline
Q1680589,Reform Party of Canada,Canadian political party
Q1682545,Janatha Vimukthi Peramuna,"People's Liberation Front, a Sri Lankan Socialist Party"
Q1686380,lensmann,historically holder of a royal fief and now rural police chief
Q1698098,Mauritanian People's Party,political party in Mauritania
Q1699287,Tigray People's Liberation Front,Ethiopian political party
Q1699290,,
Q1701676,Vitzthum,Wikimedia disambiguation page
Q1702893,Jonang,school of Tibetan Buddhism
Q1704409,,
Q1706722,research fellow,"employees or officials at a university or a research institute, which do research"
Q1709010,software engineer,practitioner of software engineering
Q1713509,June Movement,
Q1713997,legal language,pleading in civil and criminal law
Q1714700,Communist Youth of Chile,political party in Chile
Q1716419,turner,craftsmen who shape objects by using hand-held cutting tools while the piece of raw material rotates rapidly on a lathe
Q1718221,Non-citizens,
Q1720882,Cutch State,"Indian princely state, 1147-1948"
Q1728568,capitalist,economic agent that owns or controls the means of producing wealth
Q1728617,capitular vicar,
Q1728956,United Australia Party,former Australian political party (1931–1945)
Q1730130,Later Qin,historical Chinese state
Q1730955,alcohology,branch of addictology
Q1735282,cashier,person who handles the exchanging of money for goods at a store
Q1735630,cadastral surveying,sub-field of surveying that specialises in the establishment and re-establishment of real property boundaries
Q1735732,catechist,profession
Q1737057,,
Q1737259,,
Q1741727,child and adolescent psychotherapist,psychotherapist who has specialized training in working with children and adolescents
Q1747585,Democratic Alliance,political party in Italy
Q1748285,1998 Togolese presidential election,
Q1749358,Lithuanian American,ethnic group
Q1750079,nail maker,person who forges nails
Q1750812,ergonomics,study of designing equipment and devices that fit the human body and its cognitive abilities
Q1756454,art theft,The act of stealing pieces of art
Q1759368,Radical Party,Chilean political party
Q1759655,Social Democracy Party (Turkey),Turkish political party (1983–85)
Q1760473,Principality of Abkhazia,historical state
Q1763915,mountain bike trials,sport in which a mountain bike rider attempts to pass through an obstacle course without setting foot to ground
Q1766218,Reformierte Kirche Lübeck,"church building in Lübeck's Old City, Germany"
Q1769439,Radical People's Party,former Norwegian political party
Q1770457,1834 and 1835 United States Senate elections,
Q1771886,clinical neurophysiology,medical specialty that studies the central and peripheral nervous systems through the recording of bioelectrical activity
Q1772447,Kuyu people,
Q1773301,Dungeon Master,role in role-playing game Dungeons & Dragons
Q1773393,Senate Syndic,
Q1774205,fidalgo,Portuguese nobility title
Q1774476,Party for Freedom and Progress,political party in German-speaking Belgium
Q1779809,history of geology,"history of the scientific study of the origin, history, and structure of the Earth"
Q1779995,Workers' Defence Committee,organization
Q1780147,,
Q1780578,Communist League of Great Britain,
Q1781632,United Party for National Development,Zambian Political Party
Q1784152,Norwegian and Swedish Travellers,Branch of the Romani people resident in Norway and Sweden
Q1784428,Korinthos,Wikimedia disambiguation page
Q1784753,répétiteur,accompanist or coach of ballet dancers or opera singers
Q1789014,19th of April Movement,Colombian guerrilla movement
Q1789636,Croatian Party of Rights of Bosnia and Herzegovina,
Q1791348,VTT Technical Research Centre of Finland,Finnish non-profit multidisciplinary R&D organisation
Q1791880,culture mediation,
Q1794352,Electorate of Trier,
Q1801303,2007 Belgian federal election,
Q1802607,National Self-Government of Germans in Hungary,organization
Q1804627,Russian People's Republican Party,
Q1804718,Landvogt,Wikimedia disambiguation page
Q1807830,Civic Democratic Alliance,political party in the Czech Republic (1990–2007)
Q1810535,General Dutch Fascist League,
Q1811976,Great Schema,
Q1813319,Social Democratic Union of Workers and Smallholders,Defunct political party in Finland
Q1814426,Christian People's Party,
Q1817797,People's Rally for Progress,political party in Djibouti
Q1822043,2013 Lombard regional election,
Q1826375,line producer,person who has the primary responsibility for the logistics of a film or television production
Q1826873,Pensioners' Party,
Q1837630,United States Ambassador to Angola,
Q1840268,Syrian Jews,Jewish ethnic group
Q1848687,2000 Romanian presidential election,
Q1851961,National Liberal Party,political party in Lebanon
Q1854900,people smuggling,
Q1855859,popular front,broad political alliance between leftist and centrist parties
Q1858670,Freedom Party,defunct political party in Slovakia
Q1860032,business economist,professional in the social science discipline of business economics
Q1860584,Union of the Peoples of Cameroon,Cameroonian political party
Q1865275,Mouvement Libéral et Modéré,French political party
Q1867478,,
Q1871417,Boston Tea Party,former American political party from 2006 to 2012
Q1875888,aviation clerk,specific occupation in Germany
Q1885941,media personality,person known to the public through their media appearances
Q1889194,Communist Party of Turkey (1920),dissolved Communist Party of Turkey
Q1889454,Movement of Society for Peace,Islamist political party in Algeria
Q1893430,Reform Party of the United States of America,American political party
Q1894381,Dignity Party,South Australian political party
Q1901211,East Malaysia,part of Malaysia located on the island of Borneo
Q1907864,Master of Divinity,first professional degree of the pastoral profession in North America
Q1914832,associate professor,academic rank in France
Q1916639,medical technologist,health professional
Q1917014,County of Sicily,Norman state comprising the islands of Sicily and Malta and part of Calabria from 1071 until 1130
Q1918150,school physician,
Q1918626,,
Q1919436,pediatrician,physician with medical specialty pediatrics
Q1921707,Maya religion,beliefs of the ancient Maya people
Q1923367,,
Q1932580,Mozabite people,ethnic group
Q1935264,Sammarinese Communist Party,former party in San Marino
Q1936651,Hualapai,federally recognized Indian tribe in Arizona
Q1939892,amateur radio operator,amateur operator of radio communications equipment
Q1941338,burgess,"group in a society, a class"
Q1943269,Mokshas,Mordvinian ethnic group
Q1944500,Mongolian studies,
Q1951190,Movement for Democracy,liberal and Christian-democratic party in Cape Verde
Q1951198,Movement for Dignity and Independence,political party of Argentina
Q1955106,,
Q1957814,furniture construction,production of furniture
Q1957816,design of furniture,
Q1958442,millwright,Craftsman or tradesman engaged with the erection of machinery
Q1964961,2015 Danish general election,
Q1965933,tramp,long-term homeless person
Q1967163,Obnovlenie,political party in the unrecognized state of Transnistria
Q1968011,National Movement for the Development of Society,political party in Niger
Q1968205,National Centrist Party,political party in Libya
Q1968253,Nigerien Party for Democracy and Socialism,political party in Niger
Q1968654,Beylik of Saruhan,
Q1970438,operator,profession that involves the operation of specific equipment or service
Q1976697,Opperhoofd,
Q1979034,network engineer,profession that deals with using computer networks according to hardware and software
Q1984232,shemale,term primarily used in sex work to describe a transgender women with male genitalia and female secondary sex characteristics
Q1984506,PORA,political party in Ukraine
Q1984877,Hromada,Ukrainian political party
Q1986550,geomatics engineering,
Q1987276,Khotogoid,subgroup of Mongol people in northwestern Mongolia
Q1987878,Goritsky Monastery,"Orthodox monastery in Vologda Oblast, Russia"
Q1989725,Nigun,form of Jewish religious song or tune sung by groups
Q1994871,kirigami,art of folding and cutting paper
Q1995553,Principality of Lucca and Piombino,former Principality
Q1996554,Kashmiri Pandit,"Hindu community native to Kashmir, India"
Q2002129,Roma,subgroup of the Romani people
Q2002819,Swatantra Party,Political party of India
Q2002853,New Serbia,Serbian political party
Q2004963,numismatist,"person studying currencies, coins or paper money"
Q2007033,molecular phylogenetics,"branch of phylogeny that analyzes genetic, hereditary molecular differences"
Q2007833,Movement for Changes,Montenegrin political party
Q2012611,Balgarka,
Q2021092,German Russian,Wikimedia disambiguation page
Q2022194,West Bengal Socialist Party,Political party of India
Q2022804,Socialist Republic of Chile,short-lived socialist state in Chile
Q2029179,father,monk who was ordained a priest
Q2031854,Wappo people,indigenous people of Northern California
Q2033097,Resurrectionist Congregation,
Q2033521,Roshaniyya,"Sufi movement founded in 16th-century Afghanistan by Bāyazīd Ansārī, also known as Pīr Roshān or Pīr Rokhān"
Q2033977,Citizens' Action Party,Political party in Costa Rica
Q2037506,Democratic Centre,French political party (1966–1976)
Q2042147,Ouvrier,unit of area
Q2043903,undertaker’s man,"person who inform family and friends about someone's death, historically by going to their home"
Q2045208,internet celebrity,someone who has become famous by means of the Internet
Q2046097,Paez people,Indigenous people in Colombia
Q2054256,People's Will Party,
Q2054574,Aragonese Party,regionalist political party in Spain
Q2054678,Moderate Party,Spanish political party
Q2054681,Rise up!,Portuguese political party
Q2054807,Revolutionary Socialist Party,Defunct Trotskyist party in Portugal
Q2058241,software analyst,profession in IT
Q2058323,Democratic Center Party of Mexico,
Q2069151,1992 Maltese general election,
Q2070313,teaching assistant,position
Q2070568,The Other Russia,Unregistered Party of Russian National Bolsheviks
Q2073185,1841 United Kingdom general election,
Q2076582,Banat Bulgarians,
Q2080372,New Alliance Party,political party in Mexico
Q2083925,botanical collector,person who collects plants (or parts thereof) for scientific research
Q2085031,Mouravi,
Q2085106,medical representative,
Q2088191,philosopher king,"king who rules through love and knowledge, as described by Plato"
Q2088560,County of Montechiarugolo,
Q2090478,Communist Party of Nepal (United),
Q2091265,Communist Party of Suriname,political party of Suriname
Q2091370,senior accountant,
Q2094177,University of Memphis,"public research university in Memphis, Tennessee, USA"
Q2095349,Pilot,Wikimedia disambiguation page
Q2096864,Progressive Federal Party,Defunct anti-apartheid party in South Africa
Q2099032,playboy,lifestyle
Q2101735,Police Chief Inspector,
Q2101915,,
Q2109170,,
Q2111686,culinary art,"art of the preparation, cooking and presentation of food, usually in the form of meals"
Q2112227,Progress Party,ruling party in Ghana (1969-1972)
Q2114605,pharmacologist,"person who studies the manner in which drugs and medications interact with organisms, living systems, and their parts (i.e. cells, tissues, or organs)"
Q2115055,2003 Rwandan presidential election,
Q2115115,2011 Seychellois presidential election,
Q2115479,Prüfingenieur für Bautechnik,Prüfingenieur für Baustatik
Q2116865,Irish Republican Socialist Party,socialist party active in Ireland
Q2135485,law librarian,
Q2136786,Reformer,Wikimedia disambiguation page
Q2137407,Regenerator Party,
Q2143929,Tanganyika African National Union,Tanzanian political party
Q2145399,Republican Party of Germany,
Q2151209,Popular Liberal Action,French political party
Q2151302,Gerichtsassessor,
Q2153476,Social Christian Reformist Party,Christian Democratic party in the Dominican Republic
Q2154210,househusband,man whose main occupation is running or managing the family's home
Q2177973,Communist Party of Bangladesh,political party of Bangladesh
Q2183296,carcinology,branch of zoology that consists of the study of crustaceans
Q2183679,joinery,"craft, trade, of a joiner; work done by a joiner"
Q2188702,look-alike,person who closely resembles another person
Q2197468,Christian Historical Voters' League,Protestant party in the Netherlands
Q2207620,,
Q2210077,Netherlands Reformed Churches,
Q2210140,Sotnik,
Q2221822,,
Q2222504,Sanron,
Q2227570,Duchy of Württemberg,former German state (1495-1806)
Q2229927,,
Q2248045,reaper,occupation
Q2249955,type founder,manufacturer of metal type for printing
Q2252262,rapper,artist who speaks rhymes in a rhythm over music
Q2252973,Duchy of Florence,former Italian principality centred on the city of Florence
Q2256103,San Diu people,ethnic_group
Q2257830,Majeerteen Sultanate,
Q2259532,cleric,member of the clergy of a religion
Q2261096,Citizens Unity Party,South Korean political party
Q2261321,Beylik of Adana,monarchy
Q2273304,Moravian Serbia,Serbian principality between 1371 and 1402
Q2274865,Norge,"town in Oklahoma, United States"
Q2275157,Common Man's Front,Italian political party
Q2275784,New Territories Association of Societies,
Q2289786,programming,in music
Q2294682,Liberal Populars,
Q2296674,social media manager,manager of social media accounts
Q2297073,Giudicato of Cagliari,
Q2301136,special educator,
Q2303143,recluse,person who lives in voluntary seclusion from the public and society
Q2305322,Social Democratic Rally,political party in Niger
Q2308237,Ahom kingdom,"The Ahom kingdom was a kingdom in the Brahmaputra Valley in Assam, India"
Q2309784,sport cyclist,someone who competes in the sport of cycling
Q2310933,1977 Spanish general election,Election for the 1977 Spanish Parliament; first free election since 1936
Q2313068,marathon speed skating,competitive form of ice skating using marathon distance
Q2325193,Austria,portion of the Lombard Kingdom
Q2328326,,
Q2344321,Communist Party of Canada (Marxist–Leninist),political party in Canada
Q2344776,Democratic Republican Alliance,defunct political party in France
Q2351545,Old German Baptist Brethren,Old Order Christian denomination
Q2352638,Janata Party,"political party in India, active 1977–2013"
Q2356410,Palestinian Democratic Union,palestinian political party
Q2357175,hajib,court official in early Muslim world
Q2358124,Communist Party of Argentina,"The Communist party of Argentina, their ideals come from Karl Marx and Friedrick Engels."
Q2360835,Stroganov Moscow State University of Arts and Industry,artistic educational institution
Q2366229,Malla,Ruling dynasty of the Kathmandu Valley from 1201 to 1779
Q2370247,The Lute Player series,series of 2-3 similar paintings by Caravaggio
Q2378505,promoter,individual or company that promotes live entertainment events
Q2395219,history of the Russian Orthodox Church,aspect of history
Q2395467,Communist Party of West Belarus,Political organisation
Q2396442,Kingdom of Galicia and Lodomeria,former country
Q2397164,judiciary police,branch police organisation
Q2401619,Banu Zuhrah,
Q2402740,Party of the Right,
Q2406201,Convention of Republican Institutions,former French political party
Q2408844,Schout-bij-nacht,
Q2409583,kingmaker,person or group that has great influence in a royal or political succession
Q2417901,secretary of State of Spain,
Q2419940,Azmari,
Q2424039,League of Communists of Serbia,
Q2426677,Iranian Azerbaijanis,ethnic group
Q2434365,National Mandate Party,political party in Indonesia
Q2445218,goalkeeper coach,
Q2445771,Mouvement pour la Liberté et la Démocratie,Belgium
Q2447229,1979 Spanish general election,General election in Spain
Q2449503,transgender male,person assigned to the female sex at birth who identifies as a man or is situated within the male sex
Q2449639,2004 European Parliament election in the Czech Republic,
Q2450226,,
Q2452638,Arab Nationalist Movement,
Q2453869,United Socialist Workers' Party,political party in Brazil
Q2455738,National Salvation Front,political party in Romania
Q2465611,co-driver,"navigator of a rally car in the sport of rallying, who sits in the front passenger seat"
Q2475921,Bogd Khanat,khanate ruled by bogd khan on Outer Mongolia from 1911 to 1921 or 1924
Q2477135,lăutar,"member of a class of musicians, professional clan of Romani musicians"
Q2481616,Federalist Party (Argentina),political party in Argentina
Q2490358,choreographer,person who creates choreographies
Q2495176,United Free Church of Scotland,Scottish Presbyterian denomination
Q2495200,United Gold Coast Convention,political party
Q2496425,Sri Lanka Muslim Congress,
Q2502248,Principality of Koknese,
Q2502503,,
Q2513114,New York State Right to Life Party,Anti-abortion third party in New York
Q2513785,Kuraka,official of the Inca Empire who held the role of magistrate
Q2517499,Integrism,
Q2518182,insurance intermediary,
Q2520137,Bora people,
Q2523292,list of prolific writers,Wikimedia list article
Q2531463,Doctrinaires,group of French Royalists during the Bourbon Restoration and the July Monarchy who sought to sustain constitutional  monarchy
Q2537981,United People's Party,Polish political party
Q2539365,1992 United States House of Representatives elections,House elections for the 103rd U.S. Congress
Q2545706,Movement for the Self-Determination of Bioko Island,Underground political party in Equatorial Guinea
Q2551347,Spanish Maquis,Post-Spanish Civil War Spanish anti-Francoist resistence movement.
Q2556103,Pashtuns,Iranic ethnic group native to south and central Asia
Q2556342,,
Q2559675,Party of National Unity,political party in Kenya
Q2560507,,
Q2560588,,
Q2560905,Benandanti,Members of a visionary tradition in the Friuli district of Italy
Q2560911,physical geographer,specialist in physical geography
Q2562399,2007 Northern Ireland Assembly election,
Q2562456,Republic of West Papua,former unrecognized state consisting of the Western New Guinea region
Q2563977,senior management,Team of individuals at the highest level of organizational management who have the day-to-day responsibilities of managing a company or corporation
Q2569059,Liberal Union,defunct Dutch political party
Q2575147,Guadeloupe Communist Party,political party in the French overseas region of Guaeloupe
Q2575703,Partido por la Victoria del Pueblo,political party in Uruguay
Q2575707,Movement for the Independence of Sicily,Sicilian nationalist party after WW2
Q2576679,Communist Party of Greece,Maoist political party in Greece
Q2578342,People's Democratic Party,political party
Q2580032,Taifa of Almería,Muslim medieval Arab kingdom in Spain
Q2581033,Inda,"village in Märjamaa Rural Municipality, Rapla County, Estonia"
Q2581971,intensivist,physician who treats critically ill patients in the ICU
Q2586461,ǀKhowesin,ethnic group in South-West Africa
Q2587924,posadnik,
Q2594302,receivership,"trustee management of an organisation, typically due to insolvency"
Q2596222,attendant,occupation
Q2597196,Brazilian Communist Party,Communist political party in Brazil
Q2598589,Armenians in Russia,
Q2601550,Progressief Woerden,Local political party in the Netherlands
Q2601879,Maynooth University,university in Ireland
Q2603441,Spanish Patriotic Union,
Q2605592,Communist Party of Moldova,political party under Soviet rule
Q2608105,1991 Polish parliamentary election,First completely free elections in Poland since World War II
Q2615458,1919 Brazilian presidential election,
Q2617519,Camp of National Unity,
Q2623484,Active State Councillor,civil position (class) in the Russian Empire
Q2625643,Young Guard,underground anti-fascist Komsomol organization in the German-occupied Soviet city of Krasnodon
Q2625729,corresponding member,person who is a member of a learned academy who is not normally resident in the country where the academy is located
Q2625910,Umerkot,"city in Sindh, Pakistan"
Q2627286,bushranger,Originally runaway convicts during the British settlement of Australia
Q2630367,Third Ukrainian Republic,political party in Ukraine
Q2632431,Democratic People's Alliance,
Q2632719,Rastriya Prajatantra Party,Nepalese political party
Q2633574,Banu Tamim,"In subcontinent, they are known as Iraqi or Thaheem biradri"
Q2634621,Belarusian Liberal Party of Freedom and Progress,political party in Belarus
Q2637207,Communist Workers Party,
Q2640889,2011 Kazakh presidential election,
Q2649810,Mangue people,"people indigenous to Nicaragua, Honduras and Costa Rica"
Q2651835,City council of San Sebastián,
Q2657203,,
Q2658204,British Chinese people,ethnic group
Q2661159,wedding officiant,person who presides over a wedding
Q2661668,Chobanids,
Q2662552,,
Q2662841,videography,process of capturing moving images on electronic media
Q2663832,Nicaraguans,citizens or residents of Nicaragua
Q2664136,Bulgarian Greek Catholic Church,
Q2664987,Jordanian Communist Party,political party
Q2670751,Margraviate of Moravia,historic state
Q2671570,Dudeism,philosophy and lifestyle
Q2680115,Union démocratique du travail,
Q2680750,Unity for Peace and Immigration,
Q2698551,Geiger,family name
Q2705098,tarento,Japanese entertainer
Q2705468,New Social Democratic Party,
Q2706939,,
Q2707485,scenographer,person who develops the appearance of a stage design or a TV or movie set
Q2712780,Movement for the Future of Curaçao,Curaçaoan political party
Q2715954,People's War Group,Indian political party
Q2723601,Mimic,comic book character
Q2732142,statistician,person who works with theoretical or applied statistics
Q2737671,banderillero,subordinate bullfighter who puts the flags to the bull
Q2738248,Uganda National Liberation Front,Ugandan military alliance
Q2740895,Sortu,Left-leaning Basque nationalist party in the Basque Country
Q2741179,Lendmann,title in medieval Norway
Q2748251,Association of Italians of Romania - RO.AS.IT.,
Q2754720,Landwirtschaftsrat,Wikimedia disambiguation page
Q2783589,Judged By Your Work Party,political party in Madagascar
Q2787220,Master of Education,graduate academic degree in Education
Q2788519,Laborist Party,Mexican political party
Q2800440,,
Q2801301,Sozialistische Arbeiterpartei Deutschlands,1875-1890
Q2804286,Glazen,Wikimedia disambiguation page
Q2814435,Agrupació Valencianista Republicana,
Q2816781,2014 Ontario general election,provincial general election in 2014
Q2822232,,
Q2822767,,
Q2823762,Actor,king in Greek mythology
Q2824523,board member,position in an organisation
Q2824526,Corps de l'INSEE,
Q2824533,insolvency practitioner,administrator handling insolvency procedures
Q2824537,,
Q2824642,public administration of France,
Q2826192,Afrikaner Bond,"political party (Formed in 1880. After the unification of South Africa, it joined up with Het Volk in the Transvaal, the Orangia Unie in the Orange Free State and the Volksvereniging in Natal to form the Zuid-Afrikaanse Nationale Party.)"
Q2826241,Afro Bolivian,
Q2827287,aggregation of modern literature,
Q2827295,agrégation of physics,
Q2829270,Duchy of Spoleto,
Q2832970,,
Q2837983,,
Q2838049,Green Algeria Alliance,
Q2838275,Independent Ecological Alliance,French political party
Q2855609,environmentalism,"broad philosophy, ideology and social movement concerning environmental wellbeing"
Q2855874,Shakai Taishūtō,political party
Q2860253,data architect,
Q2862927,Indonesian Army,land warfare branch of Indonesia's military
Q2866675,Askatasuna,
Q2867142,asset management,management of financial assets
Q2869866,naval attaché,
Q2872192,Reason Party,Australian political party
Q2872380,,
Q2873187,,
Q2883527,Banu Abs,Ancient Arabian Tribe
Q2885511,Revolutionary Party of National Unification,political party
Q2885792,"Liberal Union (Spain, 1983)",
Q2886561,Partido Alianza Patriótica,
Q2888748,Mouvement populaire wallon,
Q2889457,Man-at-arms,Armoured medieval soldier
Q2891032,Toba Batak people,
Q2895807,Benga people,Equatorial Guinean people
Q2903803,Amen,song by Liora
Q2906723,Bloc Català,Political Party
Q2906771,Bloc for Democracy and African Integration,
Q2907348,blues shouter,"blues singer, often male, capable of singing unamplified with a band"
Q2909407,Centre Party,short-lived political party in Israel
Q2914027,Business and Professionals Alliance for Hong Kong,political group in Hong Kong
Q2915102,Independence,political party in Israel
Q2917062,1977 Israeli legislative election,Elections for the ninth Knesset
Q2917689,Romanian Social Democratic Party,political party from 1990 to 2001
Q2918061,Ethiopians,citizens or residents of Ethiopia
Q2918819,tsarina,title of a female autocratic ruler of Bulgaria or Russia
Q2919046,biochemist,scientist specialized in biochemistry
Q2919168,Democratic Republican Union,political party in Venezuela
Q2933374,Tiwi people,Aboriginal people
Q2937345,Captain General of Catalonia,maximum civil and military authority in Catalonia between 1713 and 1835 and only military until 1931
Q2938845,worker driver,
Q2945416,Self-Sacrifice National Democratic Party,
Q2948615,Hlavu vzhůru – volební blok,
Q2964004,thoracic surgery,medical specialty involved in surgical treatment of organs inside the thorax
Q2975244,clairvoyance,"ability to gain information about an object, person, location or physical event through extrasensory perception"
Q2976213,Liberal Party (Radoslavists),former Bulgarian political party
Q2978942,Refractory clergy,
Q2980127,Club de Clichy,
Q2982544,Socialist Labor Party of America,Political party
Q2984198,colonel,military rank of the United States
Q2986299,Commissioner of the Republic,Wikimedia disambiguation page
Q2988765,Sultanate of Siak Sri Indrapura,"sultanate that was located in the Siak Regency, Riau (1723-1946) (Present)"
Q2991502,list of people associated with the Revolt of the Comuneros,Wikimedia list article
Q2992876,Nuu-chah-nulth,language
Q2993629,Urhobo people,Nigerian people
Q2995285,White Brazilian,ethnic group
Q2996826,Venezuelans,citizens or residents of Venezuela
Q2997746,1994 Belarusian presidential election,First presidential election of Republic of Belarus
Q2997876,Correcteur,Wikimedia disambiguation page
Q3007508,Cumanagoto people,
Q3016793,Tayy,Arabian tribe and noble family name in Arab world
Q3025414,Fighting Democratic Movement,
Q3027506,Centrist Union of Moldova,
Q3028838,Social Democratic Party,political party in Spain
Q3029010,,
Q3029042,Diplôme d'accès aux études universitaires,
Q3029084,,
Q3029102,,
Q3029430,Director of Research at CNRS,
Q3034445,2004 Indonesian presidential election,
Q3038017,Barbuda People's Movement,Antigua and Barbuda
Q3043218,Liberal Party,political party in Rwanda
Q3043538,European Democracy,
Q3053276,Byzantine Empire under the Palaiologos dynasty,Final Imperial Roman dynasty
Q3053337,employer,person or company that employs workers
Q3054941,set dresser,someone who prepares a creative production set with props and furniture
Q3056394,Jamaat-e-Islami Hind,Islamic organisation in India
Q3058993,cosmetologist,person who is performing cosmetics
Q3065070,Pakistan Muslim League (F),
Q3066523,1996 Portuguese presidential election,
Q3068235,female crusader,female Christian participant in the Crusades
Q3070137,Reagrupament,
Q3072663,Finnish Americans,Americans of Finnish descent
Q3076974,Fuerzas Armadas Revolucionarias,Argentinian guerrilla
Q3080488,versatile,person who enjoys both topping and bottoming
Q3080922,2012 Somali presidential election,
Q3083223,Français libre,
Q3083234,australienne,2008 film by Souad El-Bouhati
Q3086466,Breton Autonomist Party,
Q3088428,Civic Front for Santiago,Provincial political coalition in Argentina
Q3088456,Justice and Development Front,political party
Q3089940,music executive,person making executive decisions over artists of a record label
Q3090691,Luiseño,Native American people from Southern California
Q3091642,Federation of the Lefts,
Q3103162,New Rights,
Q3104508,cultural manager,"person who promotes, manages, and executes cultural projects"
Q3107473,Jew,"word for Jewish people in many languages that derives from Hebrew ""Yehudi"""
Q3108649,Yoriki,members of the samurai class
Q3111240,woodchopping,sport
Q3113481,Principality of Transylvania,former principality in Central Europe (1711-1867)
Q3114821,high priest,supreme priest in several ancient religions
Q3117408,,
Q3121417,Doctor of Psychology,doctoral degree
Q3123247,March 26 Movement,political party
Q3125165,Democratic Federal Republican Party,Spanish political party (1869-1910)
Q3128486,French high civil service,
Q3133465,2011 Latvian presidential election,
Q3137572,,
Q3141006,Breton National Party,"nationalist party from Brittany, France"
Q3147182,,
Q3148760,botanical illustrator,"person who paints, sketches or otherwise illustrates botanical subjects"
Q3150661,"Independents of Economic, Social and Peasant Action",
Q3150825,,
Q3151614,Inspector of Finances,French official position
Q3153559,music interpreter,musical performer
Q3154489,Irish Quebecers,
Q3181825,Revolutionary Communist Party,political party
Q3191582,video game artist,
Q3192287,Kalâa of Ait Abbas,building in Algeria
Q3197853,klezmer musician,musican who plays klezmer music
Q3206457,Christian Democrats for the Republic,
Q3209223,,
Q3211149,La Vie Ouvrière,
Q3212923,,
Q3238003,Kanak Socialist Liberation,
Q3247515,,
Q3247924,Dominicans,citizens or residents of the Dominican Republic
Q3254353,,position
Q3267254,Afro-Uruguayan,Uruguayan of predominantly Black African descent
Q3267684,Presbyterian Church in the United States of America,historical Presbyterian organization
Q3270067,Lebou people,
Q3272997,Moscow State Institute of Radio-engineering Electronics and Automation,academic publisher
Q3273292,professional degree,degree that prepares someone to work in a particular profession
Q3273397,Jharkhand Mukti Morcha,"political party in Jharkhand, India"
Q3277236,Sikkim National Congress,Indian political party
Q3278303,United Democratic Front,political party in South Sudan
Q3279296,Sweden-Finland,term used of Finland as a part of Sweden until 1809
Q3282553,Australian Labor Party (NSW),political group split from the Australian Labor Party in the 1930s
Q3282637,film producer,"person who supervises the overall process, creative and financial, of making a film"
Q3284268,Brasil,Ratos de Porão album
Q3285832,manhuajia,People who create manhua (Chinese comics)
Q3285854,manhwaga,People who create manhwa (Korean comics)
Q3290825,churchwarden,"lay honorary officers of a parish or district church who manage the secular affairs of parish or district churches, particularly those relating to the building and other property"
Q3297843,French masters degree,academic degree in France
Q3303092,mazdaism,
Q3303170,,
Q3306974,Galician Nationalist Party-Galicianist Party,
Q3307075,Azad Pakistan Party,
Q3310481,Convergence XXI,Galician political party
Q3313721,Catalunya Lliure,
Q3315492,clergyman,Christian religious occupation
Q3317836,,
Q3319471,Union of Liberals and Leftists,
Q3319865,Irmandades da Fala,
Q3320137,Monarchiens,
Q3323765,Breton Nationalist Party,defunct political party in France
Q3326658,People's Movement,
Q3326743,,
Q3326783,,Tunisian political party
Q3326838,African Socialist Movement,
Q3326841,,
Q3326995,,
Q3327128,Left Grouping of the Valencian Country,
Q3327243,machi,spiritual leader and healer in Mapuche culture
Q3332217,Gorkha Kingdom,former kingdom  located in present-day western Nepal
Q3332711,medievalist,"historian, scientist or expert in medieval studies"
Q3336808,Chickasaw Nation,federally recognized Native American nation
Q3338629,Undang,
Q3339389,State of Grão-Pará and Rio Negro,
Q3341285,cue sports,skill games using cue stick to strike billiard balls
Q3345050,New Brunswick New Democratic Party,"political party in New Brunswick, Canada"
Q3345134,New European Order,"Neo-fascist, Europe-wide alliance set up in 1951 to promote pan-European nationalism"
Q3351343,Islami Oikya Jote,Bangladeshi political party
Q3354135,kancelliråd,"position in Denmark-Norway 1600-1700, later an honorary title"
Q3354395,Swedish Social Democratic Youth League,
Q3356167,Organiste,Wikimedia disambiguation page
Q3357567,fashion model,modelling profession
Q3357902,United Democratic Party,political party in Tanzania
Q3366143,Canadian Action Party,Canadian political party
Q3366176,African Independence Party – Renewal,Senegalese political party
Q3366196,Worker-communist Party of Iran – Hekmatist,
Q3366267,National Union Party,Right wing party in Costa Rica
Q3366268,Autonomist Republican Union Party,former Spanish political party
Q3366283,Action Party,political party in Morocco
